timestep,elites,commoners,nature,wealth
465,0,6848.41,88.8008,56.7387
466,0,6976.89,88.5887,63.4245
467,0,7107.81,88.3766,70.2123
468,0,7241.15,88.1569,77.0988
469,0,7376.91,87.9372,84.0915
470,0,7515.09,87.7099,91.1826
471,0,7656.19,87.4826,98.3798
472,0,7799.71,87.2478,105.683
473,0,7946.14,87.0129,113.092
474,0,8094.99,86.7705,120.615
475,0,8246.93,86.5205,128.244
476,0,8402.08,86.2705,135.987
477,0,8560.15,86.0129,143.835
478,0,8721.12,85.7477,151.79
479,0,8885.01,85.4826,159.866
480,0,9051.8,85.2098,168.048
481,0,9221.5,84.9371,176.352
482,0,9394.11,84.6492,184.761
483,0,9570.6,84.3689,193.276
484,0,9750,84.0734,201.913
485,0,9933.28,83.778,210.671
486,0,10119.5,83.4749,219.535
487,0,10309.5,83.1643,228.52
488,0,10502.5,82.8461,237.626
489,0,10699.4,82.5279,246.839
490,0,10900.1,82.2021,256.172
491,0,11104.7,81.8688,265.627
492,0,11313.2,81.5355,275.203
493,0,11525.6,81.187,284.87
494,0,11741.8,80.8385,294.658
495,0,11961.9,80.4824,304.568
496,0,12186,80.1188,314.598
497,0,12414.8,79.7475,324.75
498,0,12647.5,79.3687,334.993
499,0,12885.1,78.9824,345.357
500,0,13126.6,78.5884,355.842
501,0,13372.9,78.1869,366.418
502,0,13624.1,77.7853,377.115
503,0,13880.1,77.3687,387.934
504,0,14140.9,76.9444,398.843
505,0,14406.6,76.5202,409.874
506,0,14677.2,76.0807,420.995
507,0,14952.6,75.6338,432.238
508,0,15232.8,75.1792,443.572
509,0,15518.9,74.7171,454.996
510,0,15809.8,74.2474,466.512
511,0,16106.6,73.7701,478.118
512,0,16409.1,73.2776,489.816
513,0,16727.1,72.7698,501.972
514,0,17051.1,72.2464,514.222
515,0,17381.1,71.7151,526.534
516,0,17717.1,71.1683,538.972
517,0,18059.1,70.6136,551.472
518,0,18407.1,70.0589,564.034
519,0,18763.1,69.4886,576.659
520,0,19125.1,68.9026,589.347
521,0,19495.1,68.3089,602.097
522,0,19871.1,67.6995,614.909
523,0,20255.1,67.0901,627.722
524,0,20647.1,66.4573,640.597
525,0,21045.1,65.8167,653.472
526,0,21451.1,65.1683,666.409
527,0,21865.1,64.5042,679.347
528,0,22287.1,63.8323,692.284
529,0,22717.1,63.1448,705.222
530,0,23155.1,62.4456,718.097
531,0,23603.1,61.7347,730.972
532,0,24059.1,61.0081,743.784
533,0,24523.1,60.2659,756.597
534,0,24997.1,59.512,769.284
535,0,25479.1,58.7464,781.909
536,0,25971.1,57.9651,794.472
537,0,26473.1,57.1722,806.909
538,0,26985.1,56.3636,819.222
539,0,27507.1,55.5394,831.409
540,0,28039.1,54.6995,843.472
541,0,28581.1,53.844,855.347
542,0,29133.1,52.9769,867.034
543,0,29695.1,52.094,878.534
544,0,30269.1,51.1956,889.784
545,0,30853.1,50.2815,900.784
546,0,31449.1,49.3519,911.534
547,0,32057.1,48.4065,921.972
548,0,32677.1,47.4456,932.097
549,0,33309.1,46.4651,941.909
550,0,33953.1,45.469,951.347
551,0,34609.1,44.4573,960.347
552,0,35277.1,43.43,968.909
553,0,35957.1,42.387,977.034
554,0,36653.1,41.3284,984.659
555,0,37361.1,40.2542,991.784
556,0,38081.1,39.1644,998.347
557,0,38817.1,38.0589,1004.35
558,0,39565.1,36.9339,1009.72
559,0,40329.1,35.7972,1014.47
560,0,41109.1,34.6448,1018.53
561,0,41901.1,33.4769,1021.85
